author,dominant_candidate,dominant_camp,n_candidates_engaged,candidates_list,eng_david_belliard,eng_emmanuel_gregoire,eng_ian_brossat,eng_pierre_yves_bournazel,eng_rachida_dati,eng_sarah_knafo,eng_sophia_chikirou,eng_thierry_mariani,community,comm_dominant_candidate
la_chikirou_tourne,sarah_knafo,Droite,2,"sarah_knafo,sophia_chikirou",0,0,0,0,0,1,1,0,sarah_knafo,sarah_knafo
la_jule_,rachida_dati,Droite,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,rachida_dati,rachida_dati
labar0nn3_,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
labaradroite,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
labienustitus,rachida_dati,Droite,4,"pierre_yves_bournazel,rachida_dati,sarah_knafo,sophia_chikirou",0,0,0,1,1,1,1,0,rachida_dati,rachida_dati
lacabrole,thierry_mariani,Extreme droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,thierry_mariani,thierry_mariani
lachouettefleur,sarah_knafo,Droite,2,"emmanuel_gregoire,sarah_knafo",0,1,0,0,0,1,0,0,sarah_knafo,sarah_knafo
lacolitruche,sarah_knafo,Droite,3,"david_belliard,rachida_dati,sarah_knafo",1,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
lacsap066,rachida_dati,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,rachida_dati,rachida_dati
lactetue,sarah_knafo,Droite,3,"david_belliard,sarah_knafo,thierry_mariani",1,0,0,0,0,1,0,1,sarah_knafo,sarah_knafo
lad_tra_rio_j_m,rachida_dati,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,rachida_dati,rachida_dati
ladandur,sarah_knafo,Droite,4,"david_belliard,pierre_yves_bournazel,rachida_dati,sarah_knafo",1,0,0,1,1,1,0,0,sarah_knafo,sarah_knafo
ladystardust00,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
lafabriqueinsoumise,sophia_chikirou,Gauche radicale,3,"sarah_knafo,sophia_chikirou,thierry_mariani",0,0,0,0,0,1,1,1,sophia_chikirou,sophia_chikirou
lafiresistance,david_belliard,Gauche,2,"david_belliard,rachida_dati",1,0,0,0,1,0,0,0,david_belliard,david_belliard
lafrancematuer,sarah_knafo,Droite,2,"sarah_knafo,thierry_mariani",0,0,0,0,0,1,0,1,sarah_knafo,sarah_knafo
lagirodi1,rachida_dati,Droite,2,"ian_brossat,rachida_dati",0,0,1,0,1,0,0,0,rachida_dati,rachida_dati
laligueturtles_,rachida_dati,Droite,2,"david_belliard,rachida_dati",1,0,0,0,1,0,0,0,rachida_dati,rachida_dati
lalionneparis,sarah_knafo,Droite,3,"pierre_yves_bournazel,rachida_dati,sarah_knafo",0,0,0,1,1,1,0,0,sarah_knafo,sarah_knafo
lalonde82917097,sarah_knafo,Droite,3,"rachida_dati,sarah_knafo,thierry_mariani",0,0,0,0,1,1,0,1,sarah_knafo,sarah_knafo
lamisanthropeuh,pierre_yves_bournazel,Centre-droit,2,"pierre_yves_bournazel,rachida_dati",0,0,0,1,1,0,0,0,pierre_yves_bournazel,pierre_yves_bournazel
lamorille23,rachida_dati,Droite,2,"rachida_dati,thierry_mariani",0,0,0,0,1,0,0,1,rachida_dati,rachida_dati
lamu4tw,sarah_knafo,Droite,2,"rachida_dati,sarah_knafo",0,0,0,0,1,1,0,0,sarah_knafo,sarah_knafo
